14:12:09. INFO  manager.ApplicationManager - All tests starts in Chrome browser
14:12:10. INFO  manager.ApplicationManager - Link ------->https://contacts-app.tobbymarshall815.vercel.app/login
14:12:10. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
14:12:30. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
14:12:30. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[text()='LOGIN']
14:12:31. INFO  manager.MyListener - The element with locator --->By.xpath: //a[text()='LOGIN']was found
14:12:31. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[1]
14:12:31. INFO  manager.MyListener - The element with locator --->By.xpath: //input[1]was found
14:12:31. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[2]
14:12:31. INFO  manager.MyListener - The element with locator --->By.xpath: //input[2]was found
14:12:31. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[1]
14:12:31. INFO  manager.MyListener - The element with locator --->By.xpath: //button[1]was found
14:12:31. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
14:12:32. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
14:12:32. INFO  tests.TestBase - The test 'Add new contact' starts with count of contact---->23
14:12:32. INFO  tests.TestBase - The test 'Add new contact' starts with data ---->Contact{name='Mona', lastName='Dow', email='mona@gmail.com', phone='3214598765', address='Haifa', description='friend'}
14:12:32. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [href='/add']
14:12:32. INFO  manager.MyListener - The element with locator --->By.cssSelector: [href='/add']was found
14:12:32. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Name']
14:12:32. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Name']was found
14:12:32. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Last Name']
14:12:32. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Last Name']was found
14:12:32. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Phone']
14:12:32. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Phone']was found
14:12:33. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='email']
14:12:33. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='email']was found
14:12:33. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Address']
14:12:33. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Address']was found
14:12:33. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='description']
